2025-03-21 18:22:59, INFO: Current git head hash code: %s
2025-03-21 18:23:00, INFO: Using device: cuda:0
2025-03-21 18:23:04, INFO: robot number: 8
2025-03-21 18:23:04, INFO: human number: 5
2025-03-21 18:23:04, INFO: Not randomize human's radius and preferred speed
2025-03-21 18:24:35, INFO: Episode 1025/10000, reward so far: -5.0000
2025-03-21 18:24:35, INFO: Episode 1030/10000, reward so far: -5.0000
2025-03-21 18:24:36, INFO: Episode 1035/10000, reward so far: -5.0000
2025-03-21 18:24:36, INFO: Episode 1040/10000, reward so far: -5.0000
2025-03-21 18:24:36, INFO: Episode 1045/10000, reward so far: -5.0000
2025-03-21 18:24:37, INFO: Episode 1050/10000, reward so far: -5.0000
2025-03-21 18:24:37, INFO: Episode 1055/10000, reward so far: -5.0000
2025-03-21 18:24:38, INFO: Episode 1060/10000, reward so far: -5.0000
2025-03-21 18:24:38, INFO: Episode 1065/10000, reward so far: -5.0000
2025-03-21 18:24:38, INFO: Episode 1070/10000, reward so far: -5.0000
2025-03-21 18:24:39, INFO: Episode 1075/10000, reward so far: -5.0000
2025-03-21 18:24:39, INFO: Episode 1080/10000, reward so far: -5.0000
2025-03-21 18:24:40, INFO: Episode 1085/10000, reward so far: -5.0000
2025-03-21 18:24:40, INFO: Episode 1090/10000, reward so far: -5.0000
2025-03-21 18:24:40, INFO: Episode 1095/10000, reward so far: -5.0000
2025-03-21 18:24:41, INFO: Episode 1100/10000, reward so far: -5.0000
2025-03-21 18:24:41, INFO: Episode 1105/10000, reward so far: -5.0000
2025-03-21 18:24:42, INFO: Episode 1110/10000, reward so far: -5.0000
2025-03-21 18:24:42, INFO: Episode 1115/10000, reward so far: -5.0000
2025-03-21 18:24:43, INFO: Episode 1120/10000, reward so far: -5.0000
2025-03-21 18:24:43, INFO: Episode 1125/10000, reward so far: -5.0000
2025-03-21 18:24:44, INFO: Episode 1130/10000, reward so far: -5.0000
2025-03-21 18:24:44, INFO: Episode 1135/10000, reward so far: -5.0000
2025-03-21 18:24:45, INFO: Episode 1140/10000, reward so far: -5.0000
2025-03-21 18:24:45, INFO: Episode 1145/10000, reward so far: -5.0000
2025-03-21 18:24:45, INFO: Episode 1150/10000, reward so far: -5.0000
2025-03-21 18:24:46, INFO: Episode 1155/10000, reward so far: -5.0000
2025-03-21 18:24:46, INFO: Episode 1160/10000, reward so far: -5.0000
2025-03-21 18:24:46, INFO: Episode 1165/10000, reward so far: -5.0000
2025-03-21 18:24:47, INFO: Episode 1170/10000, reward so far: -5.0000
2025-03-21 18:24:47, INFO: Episode 1175/10000, reward so far: -5.0000
