2025-03-19 12:05:13, INFO: TRAIN in episode 572 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3996
2025-03-19 12:05:41, INFO: TRAIN in episode 573 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4058
2025-03-19 12:08:56, INFO: TRAIN in episode 574 has success rate: 1.00, collision rate: 0.00, nav time: 27.25, total reward: 0.4112
2025-03-19 12:11:41, INFO: TRAIN in episode 575 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4096
2025-03-19 12:12:20, INFO: TRAIN in episode 576 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4162
2025-03-19 12:13:10, INFO: TRAIN in episode 577 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4125
2025-03-19 12:14:14, INFO: TRAIN in episode 578 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4157
2025-03-19 12:17:06, INFO: TRAIN in episode 579 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4095
2025-03-19 12:20:02, INFO: TRAIN in episode 580 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4067
2025-03-19 12:21:06, INFO: TRAIN in episode 581 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.1722
2025-03-19 12:23:59, INFO: TRAIN in episode 582 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4025
2025-03-19 12:24:45, INFO: TRAIN in episode 583 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3180
2025-03-19 12:27:36, INFO: TRAIN in episode 584 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4151
2025-03-19 12:28:28, INFO: TRAIN in episode 585 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4158
2025-03-19 12:31:23, INFO: TRAIN in episode 586 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4094
2025-03-19 12:34:40, INFO: TRAIN in episode 587 has success rate: 1.00, collision rate: 0.00, nav time: 26.00, total reward: 0.4167
2025-03-19 12:37:25, INFO: TRAIN in episode 588 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4176
2025-03-19 12:38:09, INFO: TRAIN in episode 589 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.1559
